"batchId ,",125.0,",overall_accuracy, ",68.356,",step_accuracy, ",70.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",126.0,",overall_accuracy, ",68.30952380952381,",step_accuracy, ",62.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",127.0,",overall_accuracy, ",68.28740157480316,",step_accuracy, ",65.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",128.0,",overall_accuracy, ",68.26953125,",step_accuracy, ",66.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",129.0,",overall_accuracy, ",68.25581395348837,",step_accuracy, ",66.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",130.0,",overall_accuracy, ",68.28846153846155,",step_accuracy, ",72.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",131.0,",overall_accuracy, ",68.29389312977099,",step_accuracy, ",69.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",132.0,",overall_accuracy, ",68.24621212121212,",step_accuracy, ",62.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",133.0,",overall_accuracy, ",68.1842105263158,",step_accuracy, ",60.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",134.0,",overall_accuracy, ",68.17910447761194,",step_accuracy, ",67.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",135.0,",overall_accuracy, ",68.19259259259259,",step_accuracy, ",70.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",136.0,",overall_accuracy, ",68.20588235294117,",step_accuracy, ",70.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",137.0,",overall_accuracy, ",68.2080291970803,",step_accuracy, ",68.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",138.0,",overall_accuracy, ",68.23913043478261,",step_accuracy, ",72.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",139.0,",overall_accuracy, ",68.1978417266187,",step_accuracy, ",62.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",140.0,",overall_accuracy, ",68.21785714285714,",step_accuracy, ",71.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",141.0,",overall_accuracy, ",68.20567375886525,",step_accuracy, ",66.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",142.0,",overall_accuracy, ",68.20070422535211,",step_accuracy, ",67.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",143.0,",overall_accuracy, ",68.20979020979021,",step_accuracy, ",69.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",144.0,",overall_accuracy, ",68.20138888888889,",step_accuracy, ",67.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",145.0,",overall_accuracy, ",68.21034482758621,",step_accuracy, ",69.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",146.0,",overall_accuracy, ",68.22260273972603,",step_accuracy, ",70.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
