"batchId ,",80.0,",overall_accuracy, ",74.33,",step_accuracy, ",75.6,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",81.0,",overall_accuracy, ",74.30123456790123,",step_accuracy, ",72.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",['ResNet50']
"batchId ,",82.0,",overall_accuracy, ",74.3219512195122,",step_accuracy, ",76.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",83.0,",overall_accuracy, ",74.33012048192771,",step_accuracy, ",75.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",84.0,",overall_accuracy, ",74.30714285714286,",step_accuracy, ",72.39999999999999,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",85.0,",overall_accuracy, ",74.2964705882353,",step_accuracy, ",73.4,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",86.0,",overall_accuracy, ",74.31395348837209,",step_accuracy, ",75.8,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",87.0,",overall_accuracy, ",74.34712643678161,",step_accuracy, ",77.2,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1})",",",6,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f4f18ebc710>]]"
"batchId ,",88.0,",overall_accuracy, ",74.36590909090908,",step_accuracy, ",76.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",89.0,",overall_accuracy, ",74.3370786516854,",step_accuracy, ",71.8,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",['ResNet50']
"batchId ,",90.0,",overall_accuracy, ",74.30666666666667,",step_accuracy, ",71.6,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",91.0,",overall_accuracy, ",74.31428571428572,",step_accuracy, ",75.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",92.0,",overall_accuracy, ",74.32608695652175,",step_accuracy, ",75.4,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",93.0,",overall_accuracy, ",74.32043010752687,",step_accuracy, ",73.8,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",94.0,",overall_accuracy, ",74.32553191489362,",step_accuracy, ",74.8,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",95.0,",overall_accuracy, ",74.33263157894737,",step_accuracy, ",75.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
