"batchId ,",76.0,",overall_accuracy, ",74.5592105263158,",step_accuracy, ",70.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",77.0,",overall_accuracy, ",74.56493506493507,",step_accuracy, ",75.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",78.0,",overall_accuracy, ",74.57692307692308,",step_accuracy, ",75.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",79.0,",overall_accuracy, ",74.5506329113924,",step_accuracy, ",72.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",80.0,",overall_accuracy, ",74.41875,",step_accuracy, ",64.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",81.0,",overall_accuracy, ",74.42592592592592,",step_accuracy, ",75.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",82.0,",overall_accuracy, ",74.4329268292683,",step_accuracy, ",75.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",83.0,",overall_accuracy, ",74.44578313253012,",step_accuracy, ",75.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",84.0,",overall_accuracy, ",74.38690476190476,",step_accuracy, ",69.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",85.0,",overall_accuracy, ",74.36470588235295,",step_accuracy, ",72.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
