"batchId ,",75.0,",overall_accuracy, ",75.73866666666666,",step_accuracy, ",74.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",6,",",['MobileNet']
"batchId ,",76.0,",overall_accuracy, ",75.77105263157895,",step_accuracy, ",78.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",","[[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7fb91ce159b0>]], [['Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7fb91e1430b8>]]]"
"batchId ,",77.0,",overall_accuracy, ",75.73246753246752,",step_accuracy, ",72.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",['Xception']
"batchId ,",78.0,",overall_accuracy, ",75.74615384615385,",step_accuracy, ",76.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",None
"batchId ,",79.0,",overall_accuracy, ",75.75443037974684,",step_accuracy, ",76.4,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",None
"batchId ,",80.0,",overall_accuracy, ",75.7825,",step_accuracy, ",78.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1})",",",3,",","[[['Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7fb91c8f9470>]], [['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7fb91d2691d0>]]]"
"batchId ,",81.0,",overall_accuracy, ",75.75061728395062,",step_accuracy, ",73.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",['DenseNet121']
"batchId ,",82.0,",overall_accuracy, ",75.76341463414634,",step_accuracy, ",76.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",83.0,",overall_accuracy, ",75.75180722891565,",step_accuracy, ",74.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",84.0,",overall_accuracy, ",75.75,",step_accuracy, ",75.6,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",85.0,",overall_accuracy, ",75.73882352941177,",step_accuracy, ",74.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",86.0,",overall_accuracy, ",75.73720930232558,",step_accuracy, ",75.6,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",87.0,",overall_accuracy, ",75.76551724137931,",step_accuracy, ",78.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1})",",",3,",","[[['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7fb91b99df98>]]]"
"batchId ,",88.0,",overall_accuracy, ",75.775,",step_accuracy, ",76.6,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1})",",",3,",",None
"batchId ,",89.0,",overall_accuracy, ",75.74606741573034,",step_accuracy, ",73.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",['DenseNet121']
"batchId ,",90.0,",overall_accuracy, ",75.72888888888889,",step_accuracy, ",74.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",91.0,",overall_accuracy, ",75.73626373626374,",step_accuracy, ",76.4,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",92.0,",overall_accuracy, ",75.75652173913043,",step_accuracy, ",77.60000000000001,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",93.0,",overall_accuracy, ",75.75483870967741,",step_accuracy, ",75.6,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",94.0,",overall_accuracy, ",75.76382978723404,",step_accuracy, ",76.6,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",95.0,",overall_accuracy, ",75.76842105263157,",step_accuracy, ",76.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",96.0,",overall_accuracy, ",75.71875,",step_accuracy, ",71.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",['Xception']
"batchId ,",97.0,",overall_accuracy, ",75.70309278350516,",step_accuracy, ",74.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",None
"batchId ,",98.0,",overall_accuracy, ",75.72244897959183,",step_accuracy, ",77.60000000000001,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",None
"batchId ,",99.0,",overall_accuracy, ",75.74141414141414,",step_accuracy, ",77.60000000000001,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",None
"batchId ,",100.0,",overall_accuracy, ",75.742,",step_accuracy, ",75.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",None
