"batchId ,",65.0,",overall_accuracy, ",76.48461538461538,",step_accuracy, ",83.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1})",",",9,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f91acaa9160>]]"
"batchId ,",66.0,",overall_accuracy, ",76.58333333333334,",step_accuracy, ",83.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",8,",","[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f91ad1eb860>]]"
"batchId ,",67.0,",overall_accuracy, ",76.64925373134328,",step_accuracy, ",81.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",7,",","[['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f91ae7bd320>]]"
"batchId ,",68.0,",overall_accuracy, ",76.6470588235294,",step_accuracy, ",76.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",69.0,",overall_accuracy, ",76.6086956521739,",step_accuracy, ",74.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1})",",",8,",",['MobileNet']
"batchId ,",70.0,",overall_accuracy, ",76.57857142857142,",step_accuracy, ",74.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",9,",",['MobileNetV2']
"batchId ,",71.0,",overall_accuracy, ",76.55633802816901,",step_accuracy, ",75.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",10,",",['ResNet50']
"batchId ,",72.0,",overall_accuracy, ",76.54861111111111,",step_accuracy, ",76.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",73.0,",overall_accuracy, ",76.41780821917808,",step_accuracy, ",67.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",74.0,",overall_accuracy, ",76.43243243243244,",step_accuracy, ",77.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",10,",",None
