"batchId ,",67.0,",overall_accuracy, ",74.5415778251599,",step_accuracy, ",70.95238095238095,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1})",",",6,",",['InceptionV3']
"batchId ,",68.0,",overall_accuracy, ",74.53781512605042,",step_accuracy, ",74.28571428571429,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",69.0,",overall_accuracy, ",74.472049689441,",step_accuracy, ",70.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",['ResNet50']
"batchId ,",70.0,",overall_accuracy, ",74.41496598639455,",step_accuracy, ",70.47619047619048,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",71.0,",overall_accuracy, ",74.39302481556003,",step_accuracy, ",72.85714285714285,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",72.0,",overall_accuracy, ",74.40476190476191,",step_accuracy, ",75.23809523809524,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",73.0,",overall_accuracy, ",74.31833007175473,",step_accuracy, ",68.0952380952381,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",74.0,",overall_accuracy, ",74.38223938223938,",step_accuracy, ",79.04761904761905,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1})",",",6,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f13f892f3c8>]]"
"batchId ,",75.0,",overall_accuracy, ",74.38095238095238,",step_accuracy, ",74.28571428571429,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",76.0,",overall_accuracy, ",74.26065162907268,",step_accuracy, ",65.23809523809524,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",['ResNet50']
"batchId ,",77.0,",overall_accuracy, ",74.26716141001856,",step_accuracy, ",74.76190476190476,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",78.0,",overall_accuracy, ",74.28571428571429,",step_accuracy, ",75.71428571428571,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",79.0,",overall_accuracy, ",74.29776974080772,",step_accuracy, ",75.23809523809524,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",80.0,",overall_accuracy, ",74.2202380952381,",step_accuracy, ",68.0952380952381,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",81.0,",overall_accuracy, ",74.20340975896531,",step_accuracy, ",72.85714285714285,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",82.0,",overall_accuracy, ",74.21602787456446,",step_accuracy, ",75.23809523809524,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",83.0,",overall_accuracy, ",74.2512908777969,",step_accuracy, ",77.14285714285715,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1})",",",6,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f13f81e1710>]]"
"batchId ,",84.0,",overall_accuracy, ",74.18934240362812,",step_accuracy, ",69.04761904761905,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",['ResNet50']
"batchId ,",85.0,",overall_accuracy, ",74.14005602240896,",step_accuracy, ",70.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",86.0,",overall_accuracy, ",74.1140642303433,",step_accuracy, ",71.9047619047619,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",87.0,",overall_accuracy, ",74.12151067323481,",step_accuracy, ",74.76190476190476,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",88.0,",overall_accuracy, ",74.1017316017316,",step_accuracy, ",72.38095238095238,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",89.0,",overall_accuracy, ",74.11985018726591,",step_accuracy, ",75.71428571428571,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",90.0,",overall_accuracy, ",74.06349206349206,",step_accuracy, ",69.04761904761905,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",91.0,",overall_accuracy, ",73.9979068550497,",step_accuracy, ",68.0952380952381,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",None
