"batchId ,",83.0,",overall_accuracy, ",73.855421686747,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",84.0,",overall_accuracy, ",73.79761904761905,",step_accuracy, ",69.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",85.0,",overall_accuracy, ",73.75294117647059,",step_accuracy, ",70.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",86.0,",overall_accuracy, ",73.79069767441861,",step_accuracy, ",77.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1})",",",5,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7fec2dd69320>]]"
"batchId ,",87.0,",overall_accuracy, ",73.82183908045977,",step_accuracy, ",76.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1})",",",5,",",None
"batchId ,",88.0,",overall_accuracy, ",73.74431818181819,",step_accuracy, ",67.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",['ResNet50']
"batchId ,",89.0,",overall_accuracy, ",73.67977528089888,",step_accuracy, ",68.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",90.0,",overall_accuracy, ",73.64444444444445,",step_accuracy, ",70.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",91.0,",overall_accuracy, ",73.64285714285714,",step_accuracy, ",73.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",92.0,",overall_accuracy, ",73.61413043478261,",step_accuracy, ",71.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",93.0,",overall_accuracy, ",73.61827956989248,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",94.0,",overall_accuracy, ",73.58510638297872,",step_accuracy, ",70.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",95.0,",overall_accuracy, ",73.58421052631579,",step_accuracy, ",73.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",96.0,",overall_accuracy, ",73.546875,",step_accuracy, ",70.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",97.0,",overall_accuracy, ",73.5360824742268,",step_accuracy, ",72.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
