"batchId ,",55.0,",overall_accuracy, ",75.65454545454546,",step_accuracy, ",77.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",56.0,",overall_accuracy, ",75.70535714285714,",step_accuracy, ",78.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1})",",",3,",","[[['NASNetMobile', <tensorflow.python.keras.engine.functional.Functional object at 0x7f887d512080>]]]"
"batchId ,",57.0,",overall_accuracy, ",75.7280701754386,",step_accuracy, ",77.0,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1})",",",3,",",None
"batchId ,",58.0,",overall_accuracy, ",75.71551724137932,",step_accuracy, ",75.0,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1})",",",3,",",None
"batchId ,",59.0,",overall_accuracy, ",75.66949152542372,",step_accuracy, ",73.0,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'NASNetMobile': 1})",",",4,",",['NASNetMobile']
"batchId ,",60.0,",overall_accuracy, ",75.68333333333334,",step_accuracy, ",76.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'NASNetMobile': 1})",",",4,",",None
"batchId ,",61.0,",overall_accuracy, ",75.71311475409837,",step_accuracy, ",77.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'NASNetMobile': 1})",",",4,",",None
"batchId ,",62.0,",overall_accuracy, ",75.59677419354838,",step_accuracy, ",68.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1})",",",5,",",['Xception']
"batchId ,",63.0,",overall_accuracy, ",75.5873015873016,",step_accuracy, ",75.0,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1})",",",5,",",None
"batchId ,",64.0,",overall_accuracy, ",75.6015625,",step_accuracy, ",76.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1})",",",5,",",None
"batchId ,",65.0,",overall_accuracy, ",75.71538461538462,",step_accuracy, ",83.0,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1})",",",3,",","[[['Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7f887a288588>]], [['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7f887c493198>]]]"
"batchId ,",66.0,",overall_accuracy, ",75.79545454545455,",step_accuracy, ",81.0,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1})",",",2,",","[[['NASNetMobile', <tensorflow.python.keras.engine.functional.Functional object at 0x7f887a903d68>]]]"
"batchId ,",67.0,",overall_accuracy, ",75.80597014925374,",step_accuracy, ",76.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1})",",",2,",",None
"batchId ,",68.0,",overall_accuracy, ",75.80882352941177,",step_accuracy, ",76.0,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1})",",",2,",",None
"batchId ,",69.0,",overall_accuracy, ",75.70289855072464,",step_accuracy, ",68.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1})",",",3,",",['NASNetMobile']
"batchId ,",70.0,",overall_accuracy, ",75.68571428571428,",step_accuracy, ",74.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1})",",",3,",",None
"batchId ,",71.0,",overall_accuracy, ",75.67605633802816,",step_accuracy, ",75.0,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1})",",",3,",",None
"batchId ,",72.0,",overall_accuracy, ",75.65277777777779,",step_accuracy, ",74.0,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",['DenseNet121']
"batchId ,",73.0,",overall_accuracy, ",75.54794520547945,",step_accuracy, ",68.0,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",['Xception']
"batchId ,",74.0,",overall_accuracy, ",75.58108108108108,",step_accuracy, ",78.0,",models, ","Counter({'InceptionResNetV2': 1, 'NASNetMobile': 1, 'Xception': 1})",",",3,",","[[('DenseNet201', <tensorflow.python.keras.engine.functional.Functional object at 0x7f89ec5d6160>)], [['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7f887779a5c0>]]]"
"batchId ,",75.0,",overall_accuracy, ",75.62,",step_accuracy, ",78.5,",models, ","Counter({'InceptionResNetV2': 1, 'Xception': 1})",",",2,",","[[['NASNetMobile', <tensorflow.python.keras.engine.functional.Functional object at 0x7f8878819198>]]]"
"batchId ,",76.0,",overall_accuracy, ",75.50657894736842,",step_accuracy, ",67.0,",models, ","Counter({'InceptionResNetV2': 1, 'Xception': 1, 'DenseNet201': 1})",",",3,",",['DenseNet201']
"batchId ,",77.0,",overall_accuracy, ",75.48701298701299,",step_accuracy, ",74.0,",models, ","Counter({'InceptionResNetV2': 1, 'Xception': 1, 'DenseNet201': 1, 'NASNetMobile': 1})",",",4,",",['NASNetMobile']
"batchId ,",78.0,",overall_accuracy, ",75.53205128205128,",step_accuracy, ",79.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1})",",",3,",","[[['Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7f88771b1208>]]]"
"batchId ,",79.0,",overall_accuracy, ",75.5379746835443,",step_accuracy, ",76.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1})",",",3,",",None
"batchId ,",80.0,",overall_accuracy, ",75.41250000000001,",step_accuracy, ",65.5,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",['DenseNet121']
"batchId ,",81.0,",overall_accuracy, ",75.39506172839506,",step_accuracy, ",74.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",['Xception']
"batchId ,",82.0,",overall_accuracy, ",75.42073170731707,",step_accuracy, ",77.5,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",None
"batchId ,",83.0,",overall_accuracy, ",75.47590361445783,",step_accuracy, ",80.0,",models, ","Counter({'InceptionResNetV2': 1, 'NASNetMobile': 1, 'Xception': 1})",",",3,",","[[['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7f8872c467f0>]], [['DenseNet201', <tensorflow.python.keras.engine.functional.Functional object at 0x7f8875978160>]]]"
"batchId ,",84.0,",overall_accuracy, ",75.42261904761904,",step_accuracy, ",71.0,",models, ","Counter({'InceptionResNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'DenseNet201': 1})",",",4,",",['DenseNet201']
"batchId ,",85.0,",overall_accuracy, ",75.38235294117646,",step_accuracy, ",72.0,",models, ","Counter({'InceptionResNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'DenseNet201': 1, 'DenseNet121': 1})",",",5,",",['DenseNet121']
"batchId ,",86.0,",overall_accuracy, ",75.4186046511628,",step_accuracy, ",78.5,",models, ","Counter({'InceptionResNetV2': 1, 'Xception': 1, 'DenseNet201': 1})",",",3,",","[[['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7f886fcd53c8>]], [['NASNetMobile', <tensorflow.python.keras.engine.functional.Functional object at 0x7f8873cff0b8>]]]"
"batchId ,",87.0,",overall_accuracy, ",75.4080459770115,",step_accuracy, ",74.5,",models, ","Counter({'InceptionResNetV2': 1, 'Xception': 1, 'DenseNet201': 1})",",",3,",",None
"batchId ,",88.0,",overall_accuracy, ",75.30113636363637,",step_accuracy, ",66.0,",models, ","Counter({'InceptionResNetV2': 1, 'Xception': 1, 'DenseNet201': 1, 'NASNetMobile': 1})",",",4,",",['NASNetMobile']
