"batchId ,",73.0,",overall_accuracy, ",74.18493150684931,",step_accuracy, ",65.0,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",",['InceptionV3']
"batchId ,",74.0,",overall_accuracy, ",74.21621621621621,",step_accuracy, ",76.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",75.0,",overall_accuracy, ",74.24,",step_accuracy, ",76.0,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",76.0,",overall_accuracy, ",74.19736842105263,",step_accuracy, ",71.0,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",7,",",['ResNet50V2']
"batchId ,",77.0,",overall_accuracy, ",74.20779220779221,",step_accuracy, ",75.0,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",78.0,",overall_accuracy, ",74.25641025641025,",step_accuracy, ",78.0,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",4,",","[[['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c6c0ea1d0>]], [['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c6c7e2128>]], [['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c6d34f3c8>]]]"
"batchId ,",79.0,",overall_accuracy, ",74.24050632911391,",step_accuracy, ",73.0,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",",['MobileNetV2']
"batchId ,",80.0,",overall_accuracy, ",74.13125000000001,",step_accuracy, ",65.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",",['InceptionV3']
"batchId ,",81.0,",overall_accuracy, ",74.1358024691358,",step_accuracy, ",74.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",82.0,",overall_accuracy, ",74.15243902439025,",step_accuracy, ",75.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",83.0,",overall_accuracy, ",74.19277108433735,",step_accuracy, ",77.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNetV2': 1})",",",4,",","[[['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c6aeb5550>]], [['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c6da24748>]]]"
"batchId ,",84.0,",overall_accuracy, ",74.13690476190476,",step_accuracy, ",69.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'MobileNet': 1})",",",5,",",['MobileNet']
"batchId ,",85.0,",overall_accuracy, ",74.15294117647059,",step_accuracy, ",75.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'MobileNet': 1})",",",5,",",None
"batchId ,",86.0,",overall_accuracy, ",74.18023255813954,",step_accuracy, ",76.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'MobileNet': 1})",",",5,",",None
"batchId ,",87.0,",overall_accuracy, ",74.23563218390805,",step_accuracy, ",79.0,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1})",",",3,",","[[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c6ab4cbe0>]], [['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c6baa2780>]]]"
"batchId ,",88.0,",overall_accuracy, ",74.14772727272727,",step_accuracy, ",66.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",4,",",['MobileNet']
"batchId ,",89.0,",overall_accuracy, ",74.10112359550561,",step_accuracy, ",70.0,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",",['MobileNetV2']
"batchId ,",90.0,",overall_accuracy, ",74.05000000000001,",step_accuracy, ",69.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",",['InceptionV3']
"batchId ,",91.0,",overall_accuracy, ",74.05494505494505,",step_accuracy, ",74.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",92.0,",overall_accuracy, ",74.07608695652173,",step_accuracy, ",76.0,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",93.0,",overall_accuracy, ",74.10752688172043,",step_accuracy, ",77.0,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",94.0,",overall_accuracy, ",74.07446808510639,",step_accuracy, ",71.0,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",7,",",['ResNet50V2']
"batchId ,",95.0,",overall_accuracy, ",74.06315789473685,",step_accuracy, ",73.0,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",8,",",['ResNet50']
"batchId ,",96.0,",overall_accuracy, ",73.99479166666667,",step_accuracy, ",67.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",97.0,",overall_accuracy, ",73.98453608247422,",step_accuracy, ",73.0,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",98.0,",overall_accuracy, ",73.98979591836735,",step_accuracy, ",74.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",99.0,",overall_accuracy, ",73.98989898989899,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",100.0,",overall_accuracy, ",73.995,",step_accuracy, ",74.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",101.0,",overall_accuracy, ",74.04950495049505,",step_accuracy, ",79.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",","[[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c68765630>]], [['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c68e890f0>]]]"
